Video,Group,DI,diff,freezing_time,exploration_time_Left,exploration_time_Right,exploration_time_Novel,exploration_time_Known
NOR_Hab_01,Group_1,,,18.04,,,,
NOR_Hab_02,Group_1,,,3.2,,,,
NOR_Hab_05,Group_1,,,5.12,,,,
NOR_Hab_06,Group_1,,,2.84,,,,
NOR_Hab_08,Group_1,,,0.52,,,,
NOR_TR_01,Group_1,12.577340259727634,14.93435782348012,14.16,66.83727431776006,51.90291649427994,,
NOR_TR_02,Group_1,-8.72115335981436,-10.443701875519935,52.48,54.65384121347999,65.09754308899993,,
NOR_TR_05,Group_1,-20.66761745885482,-13.788894873759975,10.32,26.464247393840015,40.25314226759999,,
NOR_TR_06,Group_1,-13.887874350892094,-19.872285928960032,19.28,61.609312541759955,81.48159847071999,,
NOR_TR_08,Group_1,13.67257868358734,13.301632175159838,0.4,55.294281533959875,41.99264935880004,,
NOR_TS_01,Group_1,10.350849190286064,3.101652622399987,13.0,,,16.533426121999998,13.43177349960001
NOR_TS_02,Group_1,39.07286503352129,16.790729809480013,0.44,,,29.881797746400007,13.091067936919996
NOR_TS_05,Group_1,29.814317062195517,8.384962957600008,2.0,,,18.254455362200005,9.869492404599997
NOR_TS_06,Group_1,22.064558617194717,5.171316923839987,1.8,,,14.304263428279993,9.132946504440007
NOR_TS_08,Group_1,37.05041149697873,10.78767468152,0.04,,,19.951941077880004,9.164266396360004
NOR_Hab_03,Group_2,,,11.56,,,,
NOR_Hab_04,Group_2,,,13.08,,,,
NOR_Hab_07,Group_2,,,0.44,,,,
NOR_Hab_09,Group_2,,,33.36,,,,
NOR_Hab_10,Group_2,,,0.16,,,,
NOR_TR_03,Group_2,-0.5666711066531336,-0.3995565611600753,17.68,35.05493617979997,35.45449274096004,,
NOR_TR_04,Group_2,3.0896817815085487,4.0179182848401425,16.16,67.0305142567202,63.01259597188005,,
NOR_TR_07,Group_2,-5.042823713099159,-6.354635770160151,12.72,59.829403464839906,66.18403923500006,,
NOR_TR_09,Group_2,-17.578762541739295,-20.6132269923201,45.24,48.324439012159935,68.93766600448004,,
NOR_TR_10,Group_2,-2.4530495849002714,-1.3675985530399757,5.44,27.19167787359998,28.559276426639954,,
NOR_TS_03,Group_2,1.8878094377226846,0.5416215646400087,18.92,,,14.61605013268,14.074428568039991
NOR_TS_04,Group_2,-15.17969532790614,-2.877931197640004,3.2,,,8.040576432400004,10.918507630040008
NOR_TS_07,Group_2,-5.441940026900261,-2.0359099615199767,0.48,,,17.687781865440012,19.72369182695999
NOR_TS_09,Group_2,-4.740953308359056,-1.517363295319985,5.04,,,15.24404181984001,16.761405115159995
NOR_TS_10,Group_2,-3.0399662838107293,-0.4614175644000076,1.28,,,7.358480065999996,7.819897630400003
