Video,Group,blue,red
social_R01_Hab,3xTg,Left,Right
social_R02_Hab,3xTg,Left,Right
social_R03_Hab,3xTg,Left,Right
social_R04_Hab,WT,Left,Right
social_R05_Hab,WT,Left,Right
social_R06_Hab,WT,Left,Right
social_R07_Hab,3xTg,Left,Right
social_R08_Hab,3xTg,Left,Right
social_R09_Hab,3xTg,Left,Right
social_R10_Hab,WT,Left,Right
social_R11_Hab,WT,Left,Right
social_R12_Hab,WT,Left,Right
social_R13_Hab,WT,Left,Right
social_R14_Hab,WT,Left,Right
social_R15_Hab,WT,Left,Right
social_R16_Hab,3xTg,Left,Right
social_R17_Hab,3xTg,Left,Right
social_R18_Hab,3xTg,Left,Right
social_R19_Hab,3xTg,Left,Right
social_R20_Hab,WT,Left,Right
social_R21_Hab,WT,Left,Right
social_R22_Hab,3xTg,Left,Right
social_R23_Hab,3xTg,Left,Right
social_R01_TR1,3xTg,Object,Mice
social_R02_TR1,3xTg,Mice,Object
social_R03_TR1,3xTg,Object,Mice
social_R04_TR1,WT,Mice,Object
social_R05_TR1,WT,Object,Mice
social_R06_TR1,WT,Mice,Object
social_R07_TR1,3xTg,Object,Mice
social_R08_TR1,3xTg,Mice,Object
social_R09_TR1,3xTg,Object,Mice
social_R10_TR1,WT,Mice,Object
social_R11_TR1,WT,Object,Mice
social_R12_TR1,WT,Mice,Object
social_R13_TR1,WT,Object,Mice
social_R14_TR1,WT,Mice,Object
social_R15_TR1,WT,Object,Mice
social_R16_TR1,3xTg,Mice,Object
social_R17_TR1,3xTg,Object,Mice
social_R18_TR1,3xTg,Mice,Object
social_R19_TR1,3xTg,Object,Mice
social_R20_TR1,WT,Object,Mice
social_R21_TR1,WT,Mice,Object
social_R22_TR1,3xTg,Object,Mice
social_R23_TR1,3xTg,Mice,Object
social_R01_TR2,3xTg,Novel,Known
social_R02_TR2,3xTg,Known,Novel
social_R03_TR2,3xTg,Novel,Known
social_R04_TR2,WT,Known,Novel
social_R05_TR2,WT,Novel,Known
social_R06_TR2,WT,Known,Novel
social_R08_TR2,3xTg,Known,Novel
social_R09_TR2,3xTg,Novel,Known
social_R10_TR2,WT,Known,Novel
social_R11_TR2,WT,Novel,Known
social_R12_TR2,WT,Known,Novel
social_R13_TR2,WT,Novel,Known
social_R14_TR2,WT,Known,Novel
social_R15_TR2,WT,Novel,Known
social_R16_TR2,3xTg,Known,Novel
social_R17_TR2,3xTg,Novel,Known
social_R18_TR2,3xTg,Known,Novel
social_R19_TR2,3xTg,Novel,Known
social_R20_TR2,WT,Novel,Known
social_R21_TR2,WT,Known,Novel
social_R22_TR2,3xTg,Novel,Known
social_R23_TR2,3xTg,Known,Novel
social_R02_TR3,3xTg,Homecage,Known
social_R03_TR3,3xTg,Known,Homecage
social_R05_TR3,WT,Known,Homecage
social_R06_TR3,WT,Homecage,Known
social_R08_TR3,3xTg,Homecage,Known
social_R09_TR3,3xTg,Known,Homecage
social_R11_TR3,WT,Known,Homecage
social_R13_TR3,WT,Known,Homecage
social_R14_TR3,WT,Homecage,Known
social_R15_TR3,WT,Known,Homecage
social_R17_TR3,3xTg,Known,Homecage
social_R18_TR3,3xTg,Homecage,Known
social_R19_TR3,3xTg,Known,Homecage
social_R20_TR3,WT,Known,Homecage
social_R23_TR3,3xTg,Homecage,Known
